,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],Odds Ratio,OR 95% CI Low,OR 95% CI High
emb_w-l1_107,-0.6833,0.007,-97.5711,0.0,-0.697,-0.6696,0.5049,0.4981,0.5119
emb_w-l1_108,0.1388,0.0069,20.0531,1.8967975737519763e-89,0.1252,0.1524,1.1489,1.1334,1.1646
emb_w-l1_109,-0.5024,0.0065,-77.1821,0.0,-0.5151,-0.4896,0.6051,0.5974,0.6129
emb_w-l1_110,-0.0517,0.0072,-7.1545,8.39933119271238e-13,-0.0659,-0.0376,0.9496,0.9362,0.9631
emb_w-l1_111,-0.687,0.0065,-106.207,0.0,-0.6997,-0.6743,0.5031,0.4967,0.5095
emb_w-l1_112,-0.3712,0.0066,-56.1596,0.0,-0.3841,-0.3582,0.6899,0.681,0.6989
emb_w-l1_113,-0.3708,0.0066,-56.4867,0.0,-0.3837,-0.3579,0.6902,0.6813,0.6991
emb_w-l1_114,-0.339,0.0071,-47.4874,0.0,-0.353,-0.325,0.7125,0.7026,0.7225
emb_w-l1_115,-0.4988,0.0068,-73.09,0.0,-0.5122,-0.4854,0.6073,0.5992,0.6154
emb_w-l1_116,-0.3048,0.0073,-41.9737,0.0,-0.319,-0.2905,0.7373,0.7269,0.7479
emb_w-l1_117,-0.4645,0.0071,-65.0937,0.0,-0.4785,-0.4506,0.6284,0.6197,0.6373
emb_w-l1_118,-0.4723,0.0072,-66.0378,0.0,-0.4863,-0.4583,0.6236,0.6149,0.6324
emb_w-l1_119,-0.0092,0.0075,-1.2303,0.21858933104432932,-0.0239,0.0055,0.9908,0.9764,1.0055
emb_w-l1_120,-0.1589,0.0068,-23.4121,3.2173998221659005e-121,-0.1722,-0.1456,0.8531,0.8418,0.8645
emb_w-l1_121,-0.0709,0.0072,-9.892,4.507310671827518e-23,-0.0849,-0.0568,0.9316,0.9186,0.9447
emb_w-l1_122,-0.1438,0.0073,-19.6286,8.819532475742657e-86,-0.1582,-0.1295,0.866,0.8537,0.8786
emb_w-l1_123,-0.0407,0.0073,-5.5754,2.470228517099615e-08,-0.055,-0.0264,0.9601,0.9465,0.974
emb_w-l1_124,-0.4336,0.0067,-64.6355,0.0,-0.4467,-0.4204,0.6482,0.6397,0.6568
emb_w-l1_125,-0.5704,0.0071,-80.3414,0.0,-0.5843,-0.5565,0.5653,0.5575,0.5732
emb_w-l1_126,-0.126,0.0072,-17.4291,4.961276186369592e-68,-0.1402,-0.1119,0.8816,0.8692,0.8942
emb_w-l1_127,-0.2118,0.0073,-29.0848,5.5969593858542144e-186,-0.226,-0.1975,0.8092,0.7977,0.8208
